message_type,timestamp,active_calories,active_time,activity_type,current_activity_type_intensity,cycles,cycles_to_calories,cycles_to_distance,data,data16,distance,duration_min,enabled,event,event_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,number,resting_metabolic_rate,serial_number,software_version,steps,stress_level_time,stress_level_value,time_created,timestamp_16,type,unknown_0,unknown_1,unknown_14,unknown_15,unknown_16,unknown_2,unknown_253,unknown_3,unknown_35,unknown_36,unknown_37,unknown_38,unknown_4,unknown_6,unknown_7,unknown_8,version
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 15:12:00,27,,,,,,,,,-3,,78,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2033,,,,,,1144509120,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(192, 210, 55, 68, 1, 0, 75, 77, 66, 12, 0, 250, 1, 80, 81, 56, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(192, 210, 55, 68, 1, 1, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,53952,,,,,,,,,,,,,,,,,,
unknown_269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,3,,,,3,1144509120,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2588,,,,,,1144509120,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 48)",,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 15:13:00,28,,,,,,,,,-4,,78,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2041,,,,,,1144509180,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,54012,,,,,,,,,,,,,,,,,,
unknown_269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,4,,,,3,1144509180,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 56)",,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 15:14:00,29,,,,,,,,,-5,,78,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2041,,,,,,1144509240,,,,,,,,,,
unknown_269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,8,,,,3,1144509240,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2584,,,,,,1144509240,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 64)",,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 15:15:00,24,,,,,,,,,5,,78,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2108,,,,,,1144509300,,,,,,,,,,
unknown_269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,8,,,,3,1144509300,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 72)",,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 15:16:00,20,,,,,,,,,21,,78,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2108,,,,,,1144509360,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,54192,,,,,,,,,,,,,,,,,,
unknown_269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,10,,,,3,1144509360,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2583,,,,,,1144509360,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 80)",,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 15:17:00,25,,,,,,,,,0,,78,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,1144509420,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,54252,,,,,,,,,,,,,,,,,,
unknown_269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,11,,,,3,1144509420,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(4, 44, 1, 192)",,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 15:18:00,23,,,,,,,,,6,,78,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2141,,,,,,1144509480,,,,,,,,,,
unknown_269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,7,,,,3,1144509480,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2572,,,,,,1144509480,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2, 44, 1, 184)",,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 15:19:00,25,,,,,,,,,0,,78,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775,,,,,,1144509540,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,54372,,,,,,,,,,,,,,,,,,
unknown_269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,3,,,,3,1144509540,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2, 4, 0, 176)",,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 15:20:00,30,,,,,,,,,-7,,78,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2033,,,,,,1144509600,,,,,,,,,,
unknown_269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,4,,,,3,1144509600,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2573,,,,,,1144509600,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 224, 247)",,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 15:21:00,27,,,,,,,,,-2,,78,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1841,,,,,,1144509660,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(220, 212, 55, 68, 1, 0, 76, 76, 66, 21, 0, 250, 1, 108, 83, 56, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(220, 212, 55, 68, 1, 1, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,54492,,,,,,,,,,,,,,,,,,
unknown_269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,3,,,,3,1144509660,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(35, 2, 0, 0)",,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 15:22:00,24,,,,,,,,,3,,78,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1791,,,,,,1144509720,,,,,,,,,,
unknown_269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,6,,,,3,1144509720,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2573,,,,,,1144509720,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2, 64, 38, 8)",,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 15:23:00,19,,,,,,,,,22,,78,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908,,,,,,1144509780,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,54612,,,,,,,,,,,,,,,,,,
unknown_269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,4,,,,3,1144509780,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(88, 65, 1, 16)",,,,,,,,,,,
