message_type,timestamp,ant_device_number,ant_network,ant_transmission_type,battery_status,battery_voltage,cum_operating_time,device_index,device_type,garmin_product,hardware_version,local_timestamp,manufacturer,number,sensor_position,serial_number,software_version,source_type,system_timestamp,time_created,type,unknown_0,unknown_1,unknown_13,unknown_15,unknown_16,unknown_17,unknown_2,unknown_23,unknown_24,unknown_253,unknown_29,unknown_3,unknown_30,unknown_31,unknown_32,unknown_4,unknown_7,unknown_8,unknown_9
file_id,,,,,,,,,,4644,,,garmin,,,3617778896,,,,2026-04-07 21:11:01,73,,,,,,,,,,,,,,,,,,,
file_creator,,,,,,,,,,,,,,,,,1637,,,,,,,,,,,,,,,,,,,,,,,
device_info,2026-04-07 21:11:01,,,,,,,,,4644,,,garmin,,,3617778896,16.37,,,,,,,,,,,,,,,"(None, None, None, None, None, None)",,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.9585380554199219,,,,,,,,1144517701,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.9016952514648438,,,,,,,,1144517881,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8263816833496094,,,,,,,,1144518061,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.7887916564941406,,,,,,,,1144518241,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8725700378417969,,,,,,,,1144518421,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8526763916015625,,,,,,,,1144518601,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8458824157714844,,,,,,,,1144518781,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8558921813964844,,,,,,,,1144518961,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8276634216308594,,,,,,,,1144519141,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8084182739257812,,,,,,,,1144519321,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.7955856323242188,,,,,,,,1144519501,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.9065704345703125,,,,,,,,1144519681,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.9758491516113281,,,,,,,,1144519861,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8760299682617188,,,,,,,,1144520041,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8603782653808594,,,,,,,,1144520221,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8648681640625,,,,,,,,1144520401,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8321533203125,,,,,,,,1144520581,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8623008728027344,,,,,,,,1144520761,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8488349914550781,,,,,,,,1144520941,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8578147888183594,,,,,,,,1144521121,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8834724426269531,,,,,,,,1144521301,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8898887634277344,,,,,,,,1144521481,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8997726440429688,,,,,,,,1144521661,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.9235038757324219,,,,,,,,1144521841,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.9510879516601562,,,,,,,,1144522021,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-1.0088272094726562,,,,,,,,1144522201,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-1.2545242309570312,,,,,,,,1144522381,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-1.1499595642089844,,,,,,,,1144522561,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-1.1529006958007812,,,,,,,,1144522741,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.9948272705078125,,,,,,,,1144522921,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8370208740234375,,,,,,,,1144523101,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8350982666015625,,,,,,,,1144523281,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8257331848144531,,,,,,,,1144523461,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8988685607910156,,,,,,,,1144523641,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.9732856750488281,,,,,,,,1144523821,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.983551025390625,,,,,,,,1144524001,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.9501914978027344,,,,,,,,1144524181,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-1.188446044921875,,,,,,,,1144524361,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-1.13623046875,,,,,,,,1144524541,,,,,,,,,
